Series ID,Series Name,Units,Region Name,Region Code,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025
ABIL148UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Abilene, TX",10180,3.4,3.4,3.4,3.4,3.4,3.3,3.3,3.4
AKRO439UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Akron, OH",10420,4.7,4.8,4.9,5,5.1,5.1,5.2,5.3
ALBA513UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Albany, GA",10500,4.2,4.2,4.2,4.2,4.2,4.2,4.1,4.1
ALBA536UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Albany-Schenectady-Troy, NY",10580,3.3,3.3,3.3,3.2,3.2,3.1,3.1,3.2
ALBU735UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Albuquerque, NM",10740,4.1,4,4,4,4,3.9,4,3.9
ALEX722UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Alexandria, LA",10780,4.2,4.2,4.2,4.1,4.2,4.1,4,3.9
ALLE942UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Allentown-Bethlehem-Easton, PA-NJ",10900,4,4,4,4.1,4.1,4.2,4.2,4.3
ALTO042UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Altoona, PA",11020,3.7,3.7,3.7,3.8,3.8,3.8,3.9,3.9
AMAR148UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Amarillo, TX",11100,3.1,3.1,3.1,3.1,3.1,3,3,3.1
AMES119UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Ames, IA",11180,2.5,2.6,2.7,2.9,3,3,3.1,3
ANCH202UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Anchorage, AK",11260,4.3,4.2,4.1,4.1,4.1,4.2,4.2,4.2
ANDE318UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Anderson, IN",11300,,,,,,,,
ANNA426UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Ann Arbor, MI",11460,4.2,4.3,4.5,4.5,4.6,4.6,4.6,4.5
ANNI501UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Anniston-Oxford-Jacksonville, AL",11500,3.5,3.5,3.6,3.6,3.6,3.4,3.3,3.1
APPL555UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Appleton, WI",11540,2.6,2.7,2.7,2.7,2.8,2.7,2.7,2.7
ASHE737UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Asheville, NC",11700,4.8,4.5,4.4,4.3,4.2,4.1,4,3.8
ATHE013UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Athens-Clarke County, GA",12020,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.1
ATLA013UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Atlanta-Sandy Springs-Roswell, GA",12060,3.5,3.5,3.5,3.5,3.5,3.4,3.4,3.3
ATLA134UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Atlantic City-Hammonton, NJ",12100,6.3,6.2,6.3,6.5,6.6,6.7,6.9,7.1
AUBU201UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Auburn-Opelika, AL",12220,3.1,3,3.1,3.1,3.1,3,2.9,2.8
AUGU213UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Augusta-Richmond County, GA-SC",12260,4.5,4.4,4.4,4.3,4.3,4.2,4.2,4.1
AUST448UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Austin-Round Rock, TX",12420,3.5,3.5,3.4,3.4,3.4,3.4,3.4,3.4
BAKE506UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Bakersfield, CA",12540,8.6,8.5,8.5,8.5,8.6,8.7,8.9,8.9
BALT524UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Baltimore-Columbia-Towson, MD",12580,3.1,3.1,3.1,3.1,3.2,3.2,3.3,3.5
